date,consumer_credit_total_gbp_m,consumer_credit_credit_card_gbp_m,consumer_credit_other_gbp_m,mortgage_approvals_house_purchase,m4_amount_outstanding_gbp_m
2020-01-31,378220.0,72393,305827.0,69498,2524064
2020-02-29,380397.0,72017,308381.0,71594,2534864
2020-03-31,378329.0,69461,308868.0,56233,2617013
2020-04-30,371349.0,64292,307056.0,15934,2667507
2020-05-31,368521.0,62305,306217.0,9367,2721520
2020-06-30,369135.0,61671,307464.0,40359,2747936
2020-07-31,371805.0,62297,309508.0,66544,2772923
2020-08-31,373482.0,62349,311133.0,85149,2763518
2020-09-30,373928.0,61299,312629.0,92530,2782911
2020-10-31,376988.0,60410,316578.0,100871,2773373
2020-11-30,376568.0,59160,317408.0,107769,2793569
2020-12-31,377101.0,58181,318920.0,103358,2809409
2021-01-31,377518.0,56786,320732.0,97168,2832564
2021-02-28,375935.0,55814,320122.0,84487,2852842
2021-03-31,377374.0,55783,321591.0,81057,2869503
2021-04-30,377742.0,55769,321973.0,85373,2882565
2021-05-31,380464.0,56376,324088.0,86124,2892845
2021-06-30,382227.0,56364,325864.0,79338,2912769
2021-07-31,384741.0,57009,327732.0,72324,2912394
2021-08-31,386820.0,57300,329520.0,70880,2930819
2021-09-30,388725.0,57769,330956.0,70456,2948564
2021-10-31,389501.0,58320,331181.0,68303,2967577
2021-11-30,391968.0,58847,333121.0,69368,2986709
2021-12-31,393941.0,58533,335408.0,72784,2985425
2022-01-31,396202.0,58649,337553.0,74024,2990573
2022-02-28,399360.0,59397,339963.0,68314,3021915
2022-03-31,402242.0,60036,342205.0,68889,3021575
2022-04-30,405606.0,60612,344994.0,66053,3022303
2022-05-31,408544.0,61137,347407.0,66434,3038265
2022-06-30,411542.0,61305,350237.0,62965,3028507
2022-07-31,414884.0,61749,353135.0,62518,3041414
2022-08-31,417341.0,62174,355166.0,71910,3047764
2022-09-30,419964.0,62211,357752.0,64653,3108699
2022-10-31,422540.0,62591,359949.0,57753,3111084
2022-11-30,425513.0,63353,362160.0,46638,3062833
2022-12-31,427582.0,63174,364409.0,41501,3032458
2023-01-31,432190.0,63872,368317.0,39871,3072302
2023-02-28,435914.0,64511,371403.0,43007,3052275
2023-03-31,439715.0,64934,374782.0,51239,3028679
2023-04-30,443555.0,65531,378025.0,49006,3027839
2023-05-31,446529.0,65955,380575.0,51031,3034780
2023-06-30,450993.0,66296,384697.0,54565,3030782
2023-07-31,454404.0,66677,387727.0,49005,3010001
2023-08-31,458378.0,67127,391251.0,45041,3023164
2023-09-30,462473.0,67610,394863.0,43770,2981567
2023-10-31,466055.0,67987,398067.0,47964,2990043
2023-11-30,470616.0,68838,401779.0,50202,2989843
2023-12-31,471732.0,69016,402716.0,52564,3001067
2024-01-31,476277.0,69427,406851.0,56241,3000844
2024-02-29,480142.0,69699,410442.0,60116,3011812
2024-03-31,484592.0,70212,414379.0,61801,3034224
2024-04-30,489871.0,70109,419762.0,61788,3041470
2024-05-31,494615.0,70612,424003.0,61070,3040030
2024-06-30,498695.0,70814,427881.0,60952,3057349
2024-07-31,502088.0,71090,430999.0,62147,3070160
2024-08-31,505946.0,71366,434580.0,64750,3069365
2024-09-30,509662.0,71585,438077.0,65126,3085071
2024-10-31,512358.0,71954,440404.0,67616,3081510
2024-11-30,515363.0,71687,443676.0,65698,3083985
2024-12-31,518991.0,71990,447001.0,67041,3083677
2025-01-31,523322.0,72607,450715.0,66668,3130783
2025-02-28,527143.0,73203,453940.0,65242,3132334
2025-03-31,530094.0,73420,456674.0,64405,3136862
2025-04-30,,74283,,60549,3137089
2025-05-31,,74441,,62980,3146645
2025-06-30,,74959,,64199,3156691
2025-07-31,,75551,,64929,3160465
2025-08-31,,76104,,64491,3174836
2025-09-30,,76619,,65417,3192347
2025-10-31,,77022,,64479,3185933
2025-11-30,,77768,,64430,3211540
2025-12-31,,78290,,61558,3224688
2026-01-31,,78910,,60578,3222773
2026-02-28,,79396,,63023,3243073
2026-03-31,,79760,,64021,3271579
2026-04-30,,79532,,66034,3271577
2026-05-31,,79898,,56205,3278498
